Employee_Name,EmpID,MarriedID,GenderID,EmpStatusID,DeptID,FromDiversityJobFairID,Salary,Termd,PositionID,Position,State,DOB,Sex,MaritalDesc
"Smith, Sade",10157,0,0,1,5,0,58939,0,19,Production Technician I,MA,02-02-65,F,Single
"Soto, Julia ",10119,1,0,1,3,0,66593,0,14,IT Support,MA,03-12-73,F,Married
"Soze, Keyser",10180,1,1,2,3,0,87565,0,28,Sr. Network Engineer,MA,02-09-83,M ,Married
"Sparks, Taylor  ",10302,1,0,1,5,0,64021,0,19,Production Technician I,MA,07/20/68,F,Married
"Spirea, Kelley",10090,1,0,1,5,0,65714,0,18,Production Manager,MA,09/30/75,F,Married
"Squatrito, Kristen",10030,0,0,5,5,0,62425,1,19,Production Technician I,MA,03/26/73,F,Divorced
"Stanford,Barbara  M",10278,0,0,1,5,0,47961,0,19,Production Technician I,MA,08/25/82,F,Divorced
"Stansfield, Norman",10307,1,1,1,6,0,58273,0,3,Area Sales Manager,NV,05-09-74,M ,Married
"Steans, Tyrone  ",10147,0,1,1,1,0,63003,0,1,Accountant I,MA,09-01-86,M ,Single
"Stoica, Rick",10266,1,1,1,5,0,61355,0,19,Production Technician I,MA,03/14/85,M ,Married
"Strong, Caitrin",10241,1,0,1,6,0,60120,0,3,Area Sales Manager,MT,05-12-89,F,Married
"Sullivan, Kissy ",10158,1,0,1,5,0,63682,0,18,Production Manager,MA,03/28/78,F,Married
"Sullivan, Timothy",10117,1,1,1,5,0,63025,0,19,Production Technician I,MA,10-07-82,M ,Married
"Sutwell, Barbara",10209,0,0,1,5,0,59238,0,19,Production Technician I,MA,08/15/68,F,Single
"Szabo, Andrew",10024,0,1,1,4,0,92989,0,24,Software Engineer,MA,05-06-83,M ,Single
"Tannen, Biff",10173,1,1,1,3,0,90100,0,4,BI Developer,MA,10/24/87,M ,Married
"Tavares, Desiree  ",10221,1,0,5,5,1,60754,1,19,Production Technician I,MA,04-03-75,F,Married
"Tejeda, Lenora ",10146,1,0,5,5,0,72202,1,20,Production Technician II,MA,05/24/53,F,Married
"Terry, Sharlene ",10161,0,0,1,6,0,58370,0,3,Area Sales Manager,OR,05-07-65,F,Single
"Theamstern, Sophia",10141,0,0,5,5,0,48413,1,19,Production Technician I,MA,05-09-65,F,Single
"Thibaud, Kenneth",10268,0,1,5,5,0,67176,1,20,Production Technician II,MA,09/16/75,M ,Widowed
"Tippett, Jeanette",10123,0,0,1,5,0,56339,0,19,Production Technician I,MA,06-05-67,F,Divorced
"Torrence, Jack",10013,0,1,1,6,0,64397,0,3,Area Sales Manager,ND,01/15/68,M ,Separated
"Trang, Mei",10287,0,0,1,5,0,63025,0,19,Production Technician I,MA,05/16/83,F,Single
"Tredinnick, Neville ",10044,1,1,5,3,0,75281,1,15,Network Engineer,MA,05-05-88,M ,Married
"True, Edward",10102,0,1,5,4,1,100416,1,24,Software Engineer,MA,06/14/83,M ,Single
"Trzeciak, Cybil",10270,0,0,5,5,0,74813,1,20,Production Technician II,MA,03/15/85,F,Single
"Turpin, Jumil",10045,1,1,1,3,0,76029,0,15,Network Engineer,MA,03/31/69,M ,Married
"Valentin,Jackie",10205,1,0,1,6,0,57859,0,3,Area Sales Manager,AZ,05/23/91,F,Married
"Veera, Abdellah ",10014,0,1,5,5,0,58523,1,19,Production Technician I,MA,01/31/87,M ,Divorced
"Vega, Vincent",10144,0,1,1,5,0,88976,0,17,Production Manager,MA,10-10-68,M ,Divorced
"Villanueva, Noah",10253,0,1,1,6,0,55875,0,3,Area Sales Manager,ME,07-11-89,M ,Single
"Voldemort, Lord",10118,1,1,4,3,0,113999,1,8,Database Administrator,MA,08-07-86,M ,Married
"Volk, Colleen",10022,1,0,4,5,0,49773,1,19,Production Technician I,MA,06-03-86,F,Married
"Von Massenbach, Anna",10183,0,0,2,5,0,62068,0,19,Production Technician I,MA,04-06-85,F,Single
"Walker, Roger",10190,0,1,1,5,0,66541,0,20,Production Technician II,MA,02-10-76,M ,Single
"Wallace, Courtney  E",10274,1,0,5,5,1,80512,1,18,Production Manager,MA,11/14/55,F,Married
"Wallace, Theresa",10293,0,0,5,5,0,50274,1,19,Production Technician I,MA,08-02-80,F,Single
"Wang, Charlie",10172,0,1,1,3,0,84903,0,22,Senior BI Developer,MA,07-08-81,M ,Single
"Warfield, Sarah",10127,0,0,1,3,0,107226,0,28,Sr. Network Engineer,MA,05-02-78,F,Widowed
"Whittier, Scott",10072,0,1,5,5,0,58371,1,19,Production Technician I,MA,05/24/87,M ,Single
"Wilber, Barry",10048,1,1,5,5,0,55140,1,19,Production Technician I,MA,09-09-65,M ,Married
"Wilkes, Annie",10204,0,0,5,5,0,58062,1,19,Production Technician I,MA,07/30/83,F,Divorced
"Williams, Jacquelyn  ",10264,0,0,5,5,1,59728,1,19,Production Technician I,MA,10-02-69,F,Single
"Winthrop, Jordan  ",10033,0,1,5,5,0,70507,1,20,Production Technician II,MA,11-07-58,M ,Single
"Wolk, Hang  T",10174,0,0,1,5,0,60446,0,20,Production Technician II,MA,04/20/85,F,Single
"Woodson, Jason",10135,0,1,1,5,0,65893,0,20,Production Technician II,MA,05-11-85,M ,Single
"Ybarra, Catherine ",10301,0,0,5,5,0,48513,1,19,Production Technician I,MA,05-04-82,F,Single
"Zamora, Jennifer",10010,0,0,1,3,0,220450,0,6,CIO,MA,08/30/79,F,Single
"Zhou, Julia",10043,0,0,1,3,0,89292,0,9,Data Analyst,MA,02/24/79,F,Single
"Zima, Colleen",10271,0,0,1,5,0,45046,0,19,Production Technician I,MA,08/17/78,F,Widowed
